AssetBuilding,AssetLocation,AssetType,BuildingFloor,Mpasset,MPDescription,MPtitle,MRdescription,MRduration,MRskill,MRtitle,Record_State,ScheduleDate,EndDate,Siteid
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4367,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,3M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),0.5,HVAC,US-HVAC74B-M-03,GENERATED,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4368,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,3M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),0.5,HVAC,US-HVAC74B-M-03,GENERATED,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4369,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,3M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),0.5,HVAC,US-HVAC74B-M-03,GENERATED,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4367,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,6M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),1,HVAC,US-HVAC74B-M-06,GENERATED,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4368,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,6M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),1,HVAC,US-HVAC74B-M-06,GENERATED,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4369,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,6M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),1,HVAC,US-HVAC74B-M-06,GENERATED,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4367,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,3M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),0.5,HVAC,US-HVAC74B-M-03,GENERATED,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4368,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,3M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),0.5,HVAC,US-HVAC74B-M-03,GENERATED,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4369,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,3M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),0.5,HVAC,US-HVAC74B-M-03,GENERATED,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4367,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,6M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),1,HVAC,US-HVAC74B-M-06,GENERATED,2026-11-01T00:00:00Z,2026-11-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4368,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,6M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),1,HVAC,US-HVAC74B-M-06,GENERATED,2026-11-01T00:00:00Z,2026-11-01T00:00:00Z,FMTXUS
BLD200,BLD200-Roof,HVAC74B,Roof,FMTXUS-4369,Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),MP-HVAC74B,6M Maintenance of Fan - Exhaust  (1 Ph; Belt Drive),1,HVAC,US-HVAC74B-M-06,GENERATED,2026-11-01T00:00:00Z,2026-11-01T00:00:00Z,FMTXUS
